Year,Industry,Sector,Value,Country,Metric
2028,Alcoholic Beverages,Spirits,-,Country_Argentina,Volume M Kilograms
2028,Alcoholic Beverages,Wines,-,Country_Argentina,Volume M Kilograms
2028,Food,Bakery & Cereals,2323.796210699009,Country_Argentina,Volume M Kilograms
2028,Food,Beans & Pulses,19.97391700345981,Country_Argentina,Volume M Kilograms
2028,Food,Confectionery,123.97680563043144,Country_Argentina,Volume M Kilograms
2028,Food,Dairy & Soy Food,1585.61642102193,Country_Argentina,Volume M Kilograms
2028,Food,Fish & Seafood,215.6771784886657,Country_Argentina,Volume M Kilograms
2028,Food,Ice Cream,75.37573668458299,Country_Argentina,Volume M Kilograms
2028,Food,Meat,2830.5924843840717,Country_Argentina,Volume M Kilograms
2028,Food,Meat Substitutes,2.22909212989857,Country_Argentina,Volume M Kilograms
2028,Food,Oils and Fats,626.105958856271,Country_Argentina,Volume M Kilograms
2028,Food,Other Canned food,151.07316199705048,Country_Argentina,Volume M Kilograms
2028,Food,Other Dried food,344.099653865192,Country_Argentina,Volume M Kilograms
2028,Food,Other Frozen Foods,52.44860333542451,Country_Argentina,Volume M Kilograms
2028,Food,Pasta & Noodles,427.4316454025073,Country_Argentina,Volume M Kilograms
2028,Food,Prepared Meals,1.60468838993758,Country_Argentina,Volume M Kilograms
2028,Food,Savory & Deli Foods,20.5918475086759,Country_Argentina,Volume M Kilograms
2028,Food,Savory Snacks,39.76280145036369,Country_Argentina,Volume M Kilograms
2028,Food,"Seasonings, Dressings & Sauces",146.93572101625438,Country_Argentina,Volume M Kilograms
2028,Food,Soups,5.29990919373891,Country_Argentina,Volume M Kilograms
2028,Food,Syrups & Spreads,98.37151620161993,Country_Argentina,Volume M Kilograms
2028,Fresh Food,Fruits & Vegetables,7388.481589628199,Country_Argentina,Volume M Kilograms
2028,Household Products,Household Products,72.05608601414019,Country_Argentina,Volume M Kilograms
2028,Non-Alcoholic Beverages,Hot Drinks,711.9011491933023,Country_Argentina,Volume M Kilograms
2028,Non-Alcoholic Beverages,Soft Drinks,-,Country_Argentina,Volume M Kilograms
2024,Alcoholic Beverages,Beer & Cider,386.01000000000005,Country_Bolivia,Volume M Liters
2024,Alcoholic Beverages,Spirits,26.82860391035028,Country_Bolivia,Volume M Liters
2024,Alcoholic Beverages,Wines,15.72786305681229,Country_Bolivia,Volume M Liters
2024,Food,Bakery & Cereals,-,Country_Bolivia,Volume M Liters
2024,Food,Beans & Pulses,-,Country_Bolivia,Volume M Liters
2024,Food,Confectionery,-,Country_Bolivia,Volume M Liters
2024,Food,Dairy & Soy Food,357.8393173732541,Country_Bolivia,Volume M Liters
2024,Food,Fish & Seafood,-,Country_Bolivia,Volume M Liters
2024,Food,Ice Cream,-,Country_Bolivia,Volume M Liters
2024,Food,Meat,-,Country_Bolivia,Volume M Liters
2024,Food,Meat Substitutes,-,Country_Bolivia,Volume M Liters
2024,Food,Oils and Fats,-,Country_Bolivia,Volume M Liters
2024,Food,Other Canned food,-,Country_Bolivia,Volume M Liters
2024,Food,Other Dried food,-,Country_Bolivia,Volume M Liters
2024,Food,Other Frozen Foods,-,Country_Bolivia,Volume M Liters
2024,Food,Pasta & Noodles,-,Country_Bolivia,Volume M Liters
2024,Food,Prepared Meals,-,Country_Bolivia,Volume M Liters
2024,Food,Savory & Deli Foods,-,Country_Bolivia,Volume M Liters
2024,Food,Savory Snacks,-,Country_Bolivia,Volume M Liters
2024,Food,"Seasonings, Dressings & Sauces",-,Country_Bolivia,Volume M Liters
2024,Food,Soups,-,Country_Bolivia,Volume M Liters
2024,Food,Syrups & Spreads,-,Country_Bolivia,Volume M Liters
2024,Fresh Food,Fruits & Vegetables,-,Country_Bolivia,Volume M Liters
2024,Household Products,Household Products,45.26858118090572,Country_Bolivia,Volume M Liters
2024,Non-Alcoholic Beverages,Hot Drinks,224.82681493761135,Country_Bolivia,Volume M Liters
2024,Non-Alcoholic Beverages,Soft Drinks,1933.043907999998,Country_Bolivia,Volume M Liters
2025,Alcoholic Beverages,Beer & Cider,402.4381999499999,Country_Bolivia,Volume M Liters
2025,Alcoholic Beverages,Spirits,27.30210097782435,Country_Bolivia,Volume M Liters
2025,Alcoholic Beverages,Wines,16.13043358335083,Country_Bolivia,Volume M Liters
2025,Food,Bakery & Cereals,-,Country_Bolivia,Volume M Liters
2025,Food,Beans & Pulses,-,Country_Bolivia,Volume M Liters
2025,Food,Confectionery,-,Country_Bolivia,Volume M Liters
2025,Food,Dairy & Soy Food,359.5539756463472,Country_Bolivia,Volume M Liters
2025,Food,Fish & Seafood,-,Country_Bolivia,Volume M Liters
